games,L,T,W,conference,division,School,yearID,ch_win,ch_ru
12,8,0,4,FBS Independents,,Amherst College,1900,N,N
11,4,0,7,FBS Independents,,Army,1900,N,N
10,1,0,9,FBS Independents,,Beloit College,1900,N,N
9,2,0,7,FBS Independents,,Bowdoin,1900,N,N
11,4,0,7,FBS Independents,,Brown,1900,N,N
9,5,0,4,FBS Independents,,Bucknell,1900,N,N
11,5,0,6,FBS Independents,,Carlisle,1900,N,N
15,5,0,10,Western,,Chicago,1900,N,N
11,4,0,7,FBS Independents,,Columbia,1900,N,N
12,2,0,10,FBS Independents,,Cornell,1900,N,N
8,5,0,3,FBS Independents,,Dartmouth,1900,N,N
10,5,0,5,FBS Independents,,Dickinson,1900,N,N
9,3,0,6,FBS Independents,,Drake,1900,N,N
9,6,0,3,FBS Independents,,Grinnell,1900,N,N
11,1,0,10,FBS Independents,,Harvard,1900,N,N
10,4,0,6,FBS Independents,,Holy Cross,1900,N,N
12,3,0,9,Western,,Illinois,1900,N,N
8,4,0,4,Western,,Indiana,1900,N,N
8,0,0,8,Western,,Iowa,1900,N,N
8,5,0,3,FBS Independents,,Iowa State,1900,N,N
10,4,0,6,FBS Independents,,Knox College,1900,N,N
11,2,0,9,FBS Independents,,Lafayette,1900,N,N
11,6,0,5,FBS Independents,,Lehigh,1900,N,N
10,3,0,7,Western,,Michigan,1900,N,N
12,2,0,10,Western,,Minnesota,1900,N,N
9,3,0,6,FBS Independents,,Navy,1900,N,N
10,2,0,8,FBS Independents,,Nebraska,1900,N,N
12,5,0,7,Western,,Northwestern,1900,N,N
10,4,0,6,FBS Independents,,Notre Dame,1900,N,N
11,6,0,5,FBS Independents,,Penn State,1900,N,N
11,3,0,8,FBS Independents,,Princeton,1900,N,N
8,4,0,4,Western,,Purdue,1900,N,N
10,2,0,8,FBS Independents,,Syracuse,1900,N,N
8,3,0,5,FBS Independents,,Trinity (CT),1900,N,N
10,7,0,3,FBS Independents,,Tufts,1900,N,N
10,5,0,5,FBS Independents,,UMass,1900,N,N
9,4,0,5,FBS Independents,,Wesleyan (CT),1900,N,N
11,4,0,7,FBS Independents,,Williams,1900,N,N
9,1,0,8,Western,,Wisconsin,1900,N,N
12,0,0,12,FBS Independents,,Yale,1900,Y,N
12,7,0,5,FBS Independents,,Amherst College,1901,N,N
