yearID,franchID,Rank,W,L,NR,Playoffs,Cwin,CRU
2011,Adelaide Strikers,6,2,5,0,N,N,N
2011,Brisbane Heat,5,3,4,0,N,N,N
2011,Hobart Hurricanes,2,5,2,0,Y,N,N
2011,Melbourne Renegades,7,2,5,0,N,N,N
2011,Melbourne Stars,4,4,3,0,Y,N,N
2011,Perth Scorchers,1,5,2,0,Y,N,Y
2011,Sydney Sixers,3,5,2,0,Y,Y,N
2011,Sydney Thunder,8,2,5,0,N,N,N
2012,Adelaide Strikers,5,4,4,0,N,N,N
2012,Brisbane Heat,4,4,4,0,Y,Y,N
2012,Hobart Hurricanes,6,4,4,0,N,N,N
2012,Melbourne Renegades,1,7,1,0,Y,N,N
2012,Melbourne Stars,3,5,3,0,Y,N,N
2012,Perth Scorchers,2,5,3,0,Y,N,Y
2012,Sydney Sixers,7,3,5,0,N,N,N
2012,Sydney Thunder,8,0,8,0,N,N,N
2013,Adelaide Strikers,7,2,5,0,N,N,N
2013,Brisbane Heat,5,3,5,0,N,N,N
2013,Hobart Hurricanes,4,3,4,1,Y,N,Y
2013,Melbourne Renegades,6,3,5,0,N,N,N
2013,Melbourne Stars,1,8,0,0,Y,N,N
2013,Perth Scorchers,3,5,3,0,Y,Y,N
2013,Sydney Sixers,2,6,2,0,Y,N,N
2013,Sydney Thunder,8,1,7,0,N,N,N
2014,Adelaide Strikers,1,6,1,1,Y,N,N
2014,Brisbane Heat,8,2,6,0,N,N,N
2014,Hobart Hurricanes,5,3,5,0,N,N,N
2014,Melbourne Renegades,6,3,5,0,N,N,N
2014,Melbourne Stars,3,5,3,0,Y,N,N
2014,Perth Scorchers,2,5,3,0,Y,Y,N
2014,Sydney Sixers,4,5,3,0,Y,N,Y
2014,Sydney Thunder,7,2,5,1,N,N,N
2015,Adelaide Strikers,1,7,1,0,Y,N,N
2015,Brisbane Heat,6,3,5,0,N,N,N
2015,Hobart Hurricanes,7,3,5,0,N,N,N
2015,Melbourne Renegades,5,3,5,0,N,N,N
2015,Melbourne Stars,2,5,3,0,Y,N,Y
2015,Perth Scorchers,3,5,3,0,Y,N,N
2015,Sydney Sixers,8,2,6,0,N,N,N
2015,Sydney Thunder,4,4,4,0,Y,Y,N
2016,Adelaide Strikers,6,3,5,0,N,N,N
2016,Brisbane Heat,2,5,3,0,Y,N,N
2016,Hobart Hurricanes,7,3,5,0,N,N,N
2016,Melbourne Renegades,5,4,4,0,N,N,N
2016,Melbourne Stars,4,4,4,0,Y,N,N
2016,Perth Scorchers,1,5,3,0,Y,Y,N
2016,Sydney Sixers,3,5,3,0,Y,N,Y
2016,Sydney Thunder,8,3,5,0,N,N,N
2017,Adelaide Strikers,2,7,3,0,Y,Y,N
2017,Brisbane Heat,7,4,6,0,N,N,N
2017,Hobart Hurricanes,4,5,5,0,Y,N,Y
2017,Melbourne Renegades,3,6,4,0,Y,N,N
2017,Melbourne Stars,8,2,8,0,N,N,N
2017,Perth Scorchers,1,8,2,0,Y,N,N
2017,Sydney Sixers,5,4,6,0,N,N,N
2017,Sydney Thunder,6,4,6,0,N,N,N
2018,Adelaide Strikers,7,6,8,0,N,N,N
2018,Brisbane Heat,5,6,7,0,N,N,N
2018,Hobart Hurricanes,1,10,4,0,Y,N,N
2018,Melbourne Renegades,2,8,6,0,Y,Y,N
2018,Melbourne Stars,4,7,7,0,Y,N,Y
2018,Perth Scorchers,8,4,10,0,N,N,N
2018,Sydney Sixers,3,8,6,0,Y,N,N
2018,Sydney Thunder,6,6,7,0,N,N,N
2019,Adelaide Strikers,3,8,5,0,Y,N,N
2019,Brisbane Heat,7,6,8,0,N,N,N
2019,Hobart Hurricanes,4,6,7,0,Y,N,N
2019,Melbourne Renegades,8,3,11,0,N,N,N
2019,Melbourne Stars,1,10,4,0,Y,N,Y
2019,Perth Scorchers,6,6,8,0,N,N,N
2019,Sydney Sixers,2,9,4,1,Y,Y,N
2019,Sydney Thunder,5,6,7,0,Y,N,N
2020,Adelaide Strikers,5,7,7,0,Y,N,N
2020,Brisbane Heat,4,7,7,0,Y,N,N
2020,Hobart Hurricanes,6,7,7,0,N,N,N
2020,Melbourne Renegades,8,4,10,0,N,N,N
2020,Melbourne Stars,7,5,8,1,N,N,N
2020,Perth Scorchers,2,8,5,1,Y,N,Y
2020,Sydney Sixers,1,9,5,0,Y,Y,N
2020,Sydney Thunder,3,8,6,0,Y,N,N
2021,Adelaide Strikers,4,6,8,0,Y,N,N
2021,Brisbane Heat,7,3,11,0,N,N,N
2021,Hobart Hurricanes,5,7,7,0,Y,N,N
2021,Melbourne Renegades,8,3,11,0,N,N,N
2021,Melbourne Stars,6,7,7,0,N,N,N
2021,Perth Scorchers,1,11,3,0,Y,Y,N
2021,Sydney Sixers,2,9,4,1,Y,N,Y
2021,Sydney Thunder,3,9,5,0,Y,N,N
