franchID,Team,W,L,T,Pct.,PF,PA,CH,yearID
CAL,Calgary Stampeders,0,0,0,,0,0,Lost Semifinal,1945
HAM,Hamilton Tigers,1,5,0,0.167,36,68,,1945
MON,Montreal Hornets,1,5,0,0.167,32,113,,1945
OTT,Ottawa Rough Riders,5,1,0,0.833,105,40,Lost Quarterfinal,1945
SAK,Regina Roughriders,0,0,0,,0,0,Lost Quarterfinal,1945
TOR,Toronto Argonauts,5,1,0,0.833,92,44,Won Grey Cup,1945
TBB,Toronto Balmy Beach,0,0,0,,0,0,Lost Semifinal,1945
WIN,Winnipeg Blue Bombers,0,0,0,,0,0,Lost Grey Cup,1945
CAL,Calgary Stampeders,5,3,0,0.625,60,37,Lost Semifinal,1946
HAM,Hamilton Tigers,0,10,2,0.083,78,234,,1946
MON,Montreal Alouettes,7,3,2,0.667,211,118,Lost Quarterfinal,1946
OTT,Ottawa Rough Riders,6,4,2,0.583,175,128,,1946
SAK,Regina Roughriders,2,6,0,0.25,46,92,,1946
TOR,Toronto Argonauts,7,3,2,0.667,140,124,Won Grey Cup,1946
TBB,Toronto Balmy Beach,0,0,0,,0,0,Lost Semifinal,1946
WIN,Winnipeg Blue Bombers,5,3,0,0.625,69,46,Lost Grey Cup,1946
CAL,Calgary Stampeders,4,4,0,0.5,79,93,Lost Semifinal,1947
HAM,Hamilton Tigers,2,9,1,0.208,119,204,,1947
MON,Montreal Alouettes,6,6,0,0.5,164,164,,1947
OTT,Ottawa Rough Riders,8,4,0,0.667,170,103,Lost Quarterfinal,1947
OTT,Ottawa Trojans,0,0,0,,0,0,Lost Semifinal,1947
SAK,Regina Roughriders,3,5,0,0.375,78,64,,1947
TOR,Toronto Argonauts,7,4,1,0.625,140,122,Won Grey Cup,1947
WIN,Winnipeg Blue Bombers,5,3,0,0.625,83,83,Lost Grey Cup,1947
CAL,Calgary Stampeders,12,0,0,1,218,61,Won Grey Cup,1948
HAM,Hamilton Tigers,0,0,0,,0,0,Lost Semifinal,1948
HAM,Hamilton Wildcats,1,10,1,0.125,88,240,,1948
MON,Montreal Alouettes,7,5,0,0.583,221,172,Lost Quarterfinal,1948
OTT,Ottawa Rough Riders,10,2,0,0.833,264,130,Lost Grey Cup,1948
SAK,Saskatchewan Roughriders,3,9,0,0.25,133,137,Lost Semifinal,1948
TOR,Toronto Argonauts,5,6,1,0.458,160,191,,1948
WIN,Winnipeg Blue Bombers,3,9,0,0.25,81,234,,1948
CAL,Calgary Stampeders,13,1,0,0.929,270,77,Lost Grey Cup,1949
EDM,Edmonton Eskimos,4,10,0,0.286,93,235,,1949
HAM,Hamilton Tigers,0,0,0,,0,0,Lost Semifinal,1949
HAM,Hamilton Wildcats,0,12,0,0,147,284,,1949
MON,Montreal Alouettes,8,4,0,0.667,295,204,Won Grey Cup,1949
OTT,Ottawa Rough Riders,11,1,0,0.917,261,170,Lost Quarterfinal,1949
SAK,Regina Roughriders,9,5,0,0.643,235,102,Lost Semifinal,1949
TOR,Toronto Argonauts,5,7,0,0.417,209,254,,1949
WIN,Winnipeg Blue Bombers,2,12,0,0.143,74,258,,1949
CAL,Calgary Stampeders,4,10,0,0.286,152,253,,1950
EDM,Edmonton Eskimos,7,7,0,0.5,201,197,Lost Semifinal,1950
HAM,Hamilton Tiger-Cats,7,5,0,0.583,231,217,Lost Quarterfinal,1950
MON,Montreal Alouettes,6,6,0,0.5,192,261,,1950
OTT,Ottawa Rough Riders,4,7,1,0.375,182,231,,1950
SAK,Saskatchewan Roughriders,7,7,0,0.5,207,177,Lost Quarterfinal,1950
TOR,Toronto Argonauts,6,5,1,0.542,291,187,Won Grey Cup,1950
TBB,Toronto Balmy Beach,0,0,0,,0,0,Lost Semifinal,1950
WIN,Winnipeg Blue Bombers,10,4,0,0.714,223,156,Lost Grey Cup,1950
CAL,Calgary Stampeders,4,10,0,0.286,205,299,,1951
EDM,Edmonton Eskimos,8,6,0,0.571,306,262,Lost Semifinal,1951
HAM,Hamilton Tiger-Cats,7,5,0,0.583,229,131,Lost Quarterfinal,1951
