yearID,franchID,team,W,L,Ties,W-L%,GB,ch_win,ch_app
1982,HAI,Haitai Tigers,38,42,0,0.475,18,N,N
1982,LOG,Lotte Giants,31,49,0,0.388,25,N,N
1982,MBC,MBC Blue Dragons,46,34,0,0.575,10,N,N
1982,OBB,OB Bears,56,24,0,0.7,--,Y,Y
1982,SMS,Sammi Superstars,15,65,0,0.188,4,N,N
1982,SAM,Samsung Lions,54,26,0,0.675,2,N,Y
1983,HAI,Haitai Tigers,55,44,1,0.556,0.5,Y,Y
1983,LOG,Lotte Giants,43,56,1,0.434,12,N,N
1983,MBC,MBC Blue Dragons,55,43,2,0.561,--,N,Y
1983,OBB,OB Bears,44,55,1,0.444,11.5,N,N
1983,SMS,Sammi Superstars,52,47,1,0.525,3.5,N,N
1983,SAM,Samsung Lions,46,50,4,0.479,8,N,N
1984,HAI,Haitai Tigers,43,54,3,0.443,14,N,N
1984,LOG,Lotte Giants,50,48,2,0.51,7.5,Y,Y
1984,MBC,MBC Blue Dragons,51,48,1,0.515,7,N,N
1984,OBB,OB Bears,58,41,1,0.586,--,N,N
1984,SMS,Sammi Superstars,38,59,3,0.392,19,N,N
1984,SAM,Samsung Lions,55,45,0,0.55,3.5,N,Y
1985,SMS,Chungbo Pintos,39,70,1,0.358,3,N,N
1985,HAI,Haitai Tigers,57,52,1,0.523,20,N,N
1985,LOG,Lotte Giants,59,51,0,0.536,18.5,N,Y
1985,MBC,MBC Blue Dragons,44,65,1,0.404,33,N,N
1985,OBB,OB Bears,51,57,2,0.472,25.5,N,N
1985,SAM,Samsung Lions,77,32,1,0.706,--,Y,Y
1986,BGE,Binggre Eagles,31,76,1,0.29,39,N,N
1986,SMS,Chungbo Pintos,32,74,2,0.302,37.5,N,N
1986,HAI,Haitai Tigers,67,37,4,0.644,1.5,Y,Y
1986,LOG,Lotte Giants,50,52,6,0.49,17.5,N,N
1986,MBC,MBC Blue Dragons,59,41,8,0.59,7.5,N,N
1986,OBB,OB Bears,56,48,4,0.538,12.5,N,N
1986,SAM,Samsung Lions,70,37,1,0.654,--,N,Y
1987,BGE,Binggre Eagles,47,57,4,0.452,15,N,N
1987,SMS,Chungbo Pintos,41,65,2,0.387,22,N,N
1987,HAI,Haitai Tigers,55,48,5,0.534,6.5,Y,Y
1987,LOG,Lotte Giants,54,49,5,0.524,7.5,N,N
1987,MBC,MBC Blue Dragons,50,51,7,0.495,10.5,N,N
1987,OBB,OB Bears,55,52,1,0.514,8.5,N,N
1987,SAM,Samsung Lions,64,44,0,0.593,--,N,Y
1988,BGE,Binggre Eagles,62,45,1,0.579,6.5,N,Y
1988,HAI,Haitai Tigers,68,38,2,0.642,--,Y,Y
1988,LOG,Lotte Giants,57,49,2,0.538,11,N,N
1988,MBC,MBC Blue Dragons,40,64,4,0.385,27,N,N
1988,OBB,OB Bears,54,52,2,0.509,14,N,N
1988,SMS,Pacific Dolphins,34,73,1,0.318,34.5,N,N
1988,SAM,Samsung Lions,56,50,2,0.528,12,N,N
1989,BGE,Binggre Eagles,71,46,3,0.607,--,N,Y
1989,HAI,Haitai Tigers,65,51,4,0.56,5.5,Y,Y
1989,LOG,Lotte Giants,48,67,5,0.417,22,N,N
1989,MBC,MBC Blue Dragons,49,67,4,0.422,21.5,N,N
1989,OBB,OB Bears,54,63,3,0.462,17,N,N
1989,SMS,Pacific Dolphins,62,54,4,0.534,8.5,N,N
1989,SAM,Samsung Lions,57,58,5,0.496,13,N,N
1990,BGE,Binggre Eagles,68,50,2,0.576,2,N,N
1990,HAI,Haitai Tigers,68,49,3,0.581,1.5,N,N
1990,MBC,LG Twins,71,49,0,0.592,--,Y,Y
1990,LOG,Lotte Giants,44,71,5,0.383,24.5,N,N
1990,OBB,OB Bears,35,80,5,0.304,33.5,N,N
1990,SMS,Pacific Dolphins,58,59,3,0.496,11.5,N,N
1990,SAM,Samsung Lions,66,52,2,0.559,4,N,Y
1991,BGE,Binggre Eagles,72,49,5,0.595,7,N,Y
1991,HAI,Haitai Tigers,79,42,5,0.653,--,Y,Y
1991,MBC,LG Twins,53,72,1,0.424,28,N,N
1991,LOG,Lotte Giants,61,62,3,0.496,19,N,N
1991,OBB,OB Bears,51,73,2,0.411,29.5,N,N
1991,SMS,Pacific Dolphins,55,69,2,0.444,25.5,N,N
1991,SAM,Samsung Lions,70,55,1,0.56,11,N,N
1991,SSR,Ssangbangwool Raiders,52,71,3,0.423,28,N,N
1992,BGE,Binggre Eagles,81,43,2,0.653,--,N,Y
1992,HAI,Haitai Tigers,71,54,1,0.568,10.5,N,N
1992,MBC,LG Twins,53,70,3,0.431,27.5,N,N
1992,LOG,Lotte Giants,71,55,0,0.563,11,Y,Y
1992,OBB,OB Bears,56,66,4,0.459,24,N,N
1992,SMS,Pacific Dolphins,56,67,3,0.455,24.5,N,N
1992,SAM,Samsung Lions,67,57,2,0.54,14,N,N
1992,SSR,Ssangbangwool Raiders,41,84,1,0.328,40.5,N,N
1993,BGE,Binggre Eagles,61,61,4,0.5,19.5,N,N
1993,HAI,Haitai Tigers,81,42,3,0.659,--,Y,Y
1993,MBC,LG Twins,66,57,3,0.537,15,N,N
1993,LOG,Lotte Giants,62,63,1,0.496,20,N,N
1993,OBB,OB Bears,66,55,5,0.545,14,N,N
1993,SMS,Pacific Dolphins,34,82,10,0.293,43.5,N,N
1993,SAM,Samsung Lions,73,48,5,0.603,7,N,Y
1993,SSR,Ssangbangwool Raiders,43,78,5,0.355,37,N,N
1994,HAI,Haitai Tigers,65,59,2,0.524,15,N,N
1994,BGE,Hanwha Eagles,65,59,2,0.524,15,N,N
1994,MBC,LG Twins,81,45,0,0.643,--,Y,Y
1994,LOG,Lotte Giants,56,67,3,0.455,23.5,N,N
1994,OBB,OB Bears,53,72,1,0.424,27.5,N,N
1994,SMS,Pacific Dolphins,68,55,3,0.553,11.5,N,Y
1994,SAM,Samsung Lions,60,64,2,0.484,20,N,N
1994,SSR,Ssangbangwool Raiders,47,74,5,0.388,31,N,N
1995,HAI,Haitai Tigers,64,58,4,0.525,10.5,N,N
1995,BGE,Hanwha Eagles,55,71,0,0.437,21.5,N,N
1995,MBC,LG Twins,74,48,4,0.607,0.5,N,N
1995,LOG,Lotte Giants,68,53,5,0.562,6,N,Y
1995,OBB,OB Bears,74,47,5,0.612,--,Y,Y
1995,SMS,Pacific Dolphins,48,73,5,0.397,26,N,N
1995,SAM,Samsung Lions,60,60,6,0.5,13.5,N,N
1995,SSR,Ssangbangwool Raiders,45,78,3,0.366,30,N,N
1996,HAI,Haitai Tigers,73,51,2,0.589,--,Y,Y
1996,BGE,Hanwha Eagles,70,55,1,0.56,3.5,N,N
1996,SMS,Hyundai Unicorns,67,54,5,0.554,4.5,N,Y
1996,MBC,LG Twins,50,71,5,0.413,21.5,N,N
1996,LOG,Lotte Giants,57,63,6,0.475,14,N,N
1996,OBB,OB Bears,47,73,6,0.392,24,N,N
1996,SAM,Samsung Lions,54,67,5,0.446,17.5,N,N
1996,SSR,Ssangbangwool Raiders,70,54,2,0.565,3,N,N
1997,HAI,Haitai Tigers,75,50,1,0.6,--,Y,Y
1997,BGE,Hanwha Eagles,51,73,2,0.411,23.5,N,N
1997,SMS,Hyundai Unicorns,51,71,4,0.418,22.5,N,N
1997,MBC,LG Twins,73,51,2,0.589,1.5,N,Y
1997,LOG,Lotte Giants,48,77,1,0.384,27,N,N
1997,OBB,OB Bears,57,64,5,0.471,16,N,N
1997,SAM,Samsung Lions,66,53,7,0.555,6,N,N
1997,SSR,Ssangbangwool Raiders,71,53,2,0.573,3.5,N,N
1998,HAI,Haitai Tigers,61,64,1,0.488,19.5,N,N
1998,BGE,Hanwha Eagles,55,66,5,0.455,23.5,N,N
1998,SMS,Hyundai Unicorns,81,45,0,0.643,--,Y,Y
1998,MBC,LG Twins,63,62,1,0.504,17.5,N,Y
1998,LOG,Lotte Giants,50,72,4,0.41,29,N,N
1998,OBB,OB Bears,61,62,3,0.496,18.5,N,N
1998,SAM,Samsung Lions,66,58,2,0.532,14,N,N
1998,SSR,Ssangbangwool Raiders,58,66,2,0.468,22,N,N
1999,OBB,Doosan Bears,76,51,5,0.598,--,N,N
1999,HAI,Haitai Tigers,60,69,3,0.465,17,N,N
1999,BGE,Hanwha Eagles,72,58,2,0.554,1,Y,Y
1999,SMS,Hyundai Unicorns,68,59,5,0.535,8,N,N
1999,MBC,LG Twins,61,70,1,0.466,12.5,N,N
1999,LOG,Lotte Giants,75,52,5,0.591,1,N,Y
1999,SAM,Samsung Lions,73,57,2,0.562,--,N,N
1999,SSR,Ssangbangwool Raiders,28,97,7,0.224,42.5,N,N
2000,OBB,Doosan Bears,76,57,0,0.571,16,N,Y
2000,HAI,Haitai Tigers,57,72,4,0.442,33,N,N
2000,BGE,Hanwha Eagles,50,78,5,0.391,16,N,N
2000,SMS,Hyundai Unicorns,91,40,2,0.695,--,Y,Y
2000,MBC,LG Twins,67,63,3,0.515,--,N,N
2000,LOG,Lotte Giants,65,64,4,0.504,1.5,N,N
2000,SAM,Samsung Lions,69,59,5,0.539,20.5,N,N
