franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,yearID
Auxerre,1,38,22,6,10,66,30,36,72,1.89,1996
Paris S-G,2,38,19,11,8,65,36,29,68,1.79,1996
Monaco,3,38,19,11,8,64,39,25,68,1.79,1996
Metz,4,38,18,11,9,42,30,12,65,1.71,1996
Lens,5,38,16,15,7,45,31,14,63,1.66,1996
Montpellier,6,38,17,9,12,51,40,11,60,1.58,1996
Nantes,7,38,14,13,11,44,42,2,55,1.45,1996
Rennes,8,38,13,15,10,44,41,3,54,1.42,1996
Strasbourg,9,38,14,12,12,46,44,2,54,1.42,1996
Guingamp,10,38,13,14,11,34,33,1,53,1.39,1996
Lyon,11,38,10,18,10,41,41,0,48,1.26,1996
Nice,12,38,12,9,17,37,44,-7,45,1.18,1996
Le Havre,13,38,11,12,15,33,45,-12,45,1.18,1996
AS Cannes,14,38,12,8,18,45,51,-6,44,1.16,1996
Bastia,15,38,12,8,18,45,55,-10,44,1.16,1996
Bordeaux,16,38,11,9,18,44,52,-8,42,1.11,1996
Lille,17,38,9,12,17,27,50,-23,39,1.03,1996
Gueugnon,18,38,8,14,16,27,46,-19,38,1,1996
Saint-Ã‰tienne,19,38,6,16,16,36,59,-23,34,0.89,1996
FC Martigues,20,38,9,7,22,31,58,-27,34,0.89,1996
Monaco,1,38,23,10,5,69,30,39,79,2.08,1997
Paris S-G,2,38,18,13,7,57,31,26,67,1.76,1997
Nantes,3,38,16,16,6,61,32,29,64,1.68,1997
Bordeaux,4,38,16,15,7,59,42,17,63,1.66,1997
Metz,5,38,17,11,10,40,30,10,62,1.63,1997
Auxerre,6,38,17,10,11,49,32,17,61,1.61,1997
Bastia,7,38,17,10,11,54,47,7,61,1.61,1997
Lyon,8,38,16,12,10,59,50,9,60,1.58,1997
Strasbourg,9,38,19,3,16,52,49,3,60,1.58,1997
Montpellier,10,38,12,15,11,40,40,0,51,1.34,1997
Marseille,11,38,12,13,13,43,48,-5,49,1.29,1997
Guingamp,12,38,11,13,14,32,36,-4,46,1.21,1997
Lens,13,38,12,9,17,40,52,-12,45,1.18,1997
Le Havre,14,38,10,13,15,34,43,-9,43,1.13,1997
AS Cannes,15,38,9,14,15,25,41,-16,41,1.08,1997
Rennes,16,38,10,10,18,40,58,-18,40,1.05,1997
Caen,17,38,7,16,15,35,46,-11,37,0.97,1997
Nancy,18,38,9,10,19,33,51,-18,37,0.97,1997
Lille,19,38,8,11,19,32,58,-26,35,0.92,1997
Nice,20,38,5,8,25,30,68,-38,23,0.61,1997
Lens,1,34,21,5,8,55,30,25,68,2,1998
Metz,2,34,20,8,6,48,28,20,68,2,1998
Monaco,3,34,18,5,11,51,33,18,59,1.74,1998
Marseille,4,34,16,9,9,47,27,20,57,1.68,1998
Bordeaux,5,34,15,11,8,49,41,8,56,1.65,1998
Lyon,6,34,16,5,13,39,37,2,53,1.56,1998
Auxerre,7,34,14,9,11,55,45,10,51,1.5,1998
Paris S-G,8,34,14,8,12,43,35,8,50,1.47,1998
Bastia,9,34,13,11,10,36,31,5,50,1.47,1998
Le Havre,10,34,10,14,10,38,35,3,44,1.29,1998
Nantes,11,34,11,8,15,35,41,-6,41,1.21,1998
Montpellier,12,34,10,11,13,32,42,-10,41,1.21,1998
Strasbourg,13,34,9,10,15,39,43,-4,37,1.09,1998
Rennes,14,34,9,9,16,36,48,-12,36,1.06,1998
Toulouse,15,34,9,9,16,26,46,-20,36,1.06,1998
Guingamp,16,34,9,8,17,30,42,-12,35,1.03,1998
ChÃ¢teauroux,17,34,8,7,19,31,59,-28,31,0.91,1998
AS Cannes,18,34,7,7,20,32,59,-27,28,0.82,1998
Bordeaux,1,34,22,6,6,66,29,37,72,2.12,1999
Marseille,2,34,21,8,5,56,28,28,71,2.09,1999
Lyon,3,34,18,9,7,51,31,20,63,1.85,1999
Monaco,4,34,18,8,8,52,32,20,62,1.82,1999
Rennes,5,34,17,8,9,45,38,7,59,1.74,1999
Lens,6,34,14,7,13,46,43,3,49,1.44,1999
Nantes,7,34,12,12,10,40,34,6,48,1.41,1999
Montpellier,8,34,11,10,13,53,50,3,43,1.26,1999
