yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,HR,ER,name
1920,AL,BOS,BOS,,5,154,76,72,81,,,N,N,650,5199,1397,22,592,Boston Red Sox
1920,NL,BRO,LAD,,1,155,78,93,61,,,Y,N,660,5399,1493,28,415,Brooklyn Robins
1920,NL,BSN,ATL,,7,153,74,62,90,,,N,N,523,5218,1358,23,545,Boston Braves
1920,AL,CHA,CHW,,2,154,77,96,58,,,N,N,794,5328,1574,37,553,Chicago White Sox
1920,NL,CHN,CHC,,5,154,77,75,79,,,N,N,619,5117,1350,34,504,Chicago Cubs
1920,NL,CIN,CIN,,3,154,77,82,71,,,N,N,639,5176,1432,18,448,Cincinnati Reds
1920,AL,CLE,CLE,,1,154,78,98,56,,,Y,Y,857,5203,1574,35,522,Cleveland Indians
1920,AL,DET,DET,,7,155,78,61,93,,,N,N,652,5215,1408,30,622,Detroit Tigers
1920,NL,NY1,SFG,,2,155,80,86,68,,,N,N,682,5309,1427,46,438,New York Giants
1920,AL,NYA,NYY,,3,154,77,95,59,,,N,N,838,5176,1448,115,505,New York Yankees
1920,AL,PHA,OAK,,8,156,77,48,106,,,N,N,558,5256,1324,44,603,Philadelphia Athletics
1920,NL,PHI,PHI,,8,153,77,62,91,,,N,N,565,5264,1385,64,557,Philadelphia Phillies
1920,NL,PIT,PIT,,4,155,78,79,75,,,N,N,530,5219,1342,16,454,Pittsburgh Pirates
1920,AL,SLA,BAL,,4,154,78,76,77,,,N,N,797,5358,1651,50,617,St. Louis Browns
1920,NL,SLN,STL,,5,155,76,75,79,,,N,N,675,5495,1589,32,543,St. Louis Cardinals
1920,AL,WS1,MIN,,6,153,76,68,84,,,N,N,723,5251,1526,36,633,Washington Senators
1921,AL,BOS,BOS,,5,154,77,75,79,,,N,N,668,5206,1440,17,603,Boston Red Sox
1921,NL,BRO,LAD,,5,152,78,77,75,,,N,N,667,5263,1476,59,560,Brooklyn Robins
1921,NL,BSN,ATL,,4,153,74,79,74,,,N,N,721,5385,1561,61,600,Boston Braves
1921,AL,CHA,CHW,,7,154,77,62,92,,,N,N,683,5329,1509,35,749,Chicago White Sox
