yearID,franchID,Team,GP,W,D,L,SOW,GF,GA,GD,Pts,Qualification,playoffs,ch_app,ch_win,supporters_shield
1996,DCU,D.C. United,32,15,0,16,1,62,56,6,46,1997 CONCACAF Champions' Cup[a],Y,Y,Y,N
1996,COL,Colorado Rapids,32,9,0,21,2,44,59,-15,29,,N,N,N,N
1996,CLM,Columbus Crew,32,11,0,17,4,59,60,-1,37,,Y,N,N,N
1996,DAL,Dallas Burn,32,12,0,15,5,50,48,2,41,,Y,N,N,N
1996,SKC,Kansas City Wiz,32,12,0,15,5,61,63,-2,41,,Y,N,N,N
1996,LAG,Los Angeles Galaxy,32,15,0,13,4,59,49,10,49,1997 CONCACAF Champions' Cup[a],Y,Y,N,N
1996,NER,New England Revolution,32,9,0,17,6,43,56,-13,33,,N,N,N,N
1996,NYB,NY/NJ MetroStars,32,12,0,17,3,45,47,-2,39,,Y,N,N,N
1996,SJE,San Jose Clash,32,12,0,17,3,50,50,0,39,,Y,N,N,N
1996,TBM,Tampa Bay Mutiny,32,19,0,12,1,66,51,15,58,,Y,N,N,Y
1997,DCU,D.C. United,32,17,0,11,4,70,53,17,55,1998 CONCACAF Champions' Cup[a],Y,Y,Y,Y
1997,COL,Colorado Rapids,32,12,0,18,2,50,59,-9,38,1998 CONCACAF Champions' Cup[a],Y,Y,N,N
1997,CLM,Columbus Crew,32,12,0,17,3,42,41,1,39,,Y,N,N,N
1997,DAL,Dallas Burn,32,13,0,16,3,55,49,6,42,,Y,N,N,N
1997,SKC,Kansas City Wizards,32,14,0,11,7,57,51,6,49,,Y,N,N,N
1997,LAG,Los Angeles Galaxy,32,14,0,16,2,55,44,11,44,,Y,N,N,N
1997,NER,New England Revolution,32,11,0,17,4,40,53,-13,37,,N,N,N,N
1997,NYB,NY/NJ MetroStars,32,11,0,19,2,43,53,-10,35,,N,N,N,N
1997,SJE,San Jose Clash,32,9,0,20,3,55,59,-4,30,,N,N,N,N
1997,TBM,Tampa Bay Mutiny,32,14,0,15,3,55,60,-5,45,,Y,N,N,N
1998,COL,Colorado Rapids,32,16,2,16,2,62,69,-7,44,,Y,N,N,N
1998,CHI,Chicago Fire,32,20,2,12,2,62,45,17,56,,Y,Y,Y,N
1998,CLM,Columbus Crew,32,15,5,17,0,67,56,11,45,,Y,N,N,N
1998,DCU,D.C. United,32,24,3,8,7,74,48,26,58,,Y,Y,N,N
1998,DAL,Dallas Burn,32,15,2,17,4,43,59,-16,37,,Y,N,N,N
1998,SKC,Kansas City Wizards,32,12,4,20,2,45,50,-5,32,,N,N,N,N
1998,LAG,Los Angeles Galaxy,32,24,2,8,2,85,44,41,68,,N,N,N,Y
1998,NYB,MetroStars,32,15,4,17,3,54,63,-9,39,,Y,N,N,N
1998,MIF,Miami Fusion,32,15,0,17,5,46,68,-22,35,,N,N,N,N
1998,NER,New England Revolution,32,11,4,21,2,53,66,-13,29,,N,N,N,N
1998,SJE,San Jose Clash,32,13,5,19,3,48,60,-12,33,,N,N,N,N
1998,TBM,Tampa Bay Mutiny,32,12,5,20,1,46,57,-11,34,,N,N,N,N
1999,CHI,Chicago Fire,32,18,5,14,3,51,36,15,48,,Y,N,N,N
1999,COL,Colorado Rapids,32,20,3,12,6,38,39,-1,48,,Y,N,N,N
1999,CLM,Columbus Crew,32,19,4,13,6,48,39,9,45,,Y,N,N,N
1999,DCU,D.C. United,32,23,3,9,6,65,43,22,57,,Y,Y,Y,Y
1999,DAL,Dallas Burn,32,19,6,13,3,54,35,19,51,,Y,N,N,N
1999,SKC,Kansas City Wizards,32,8,6,24,2,33,53,-20,20,,N,N,N,N
1999,LAG,Los Angeles Galaxy,32,20,4,12,3,49,29,20,54,,Y,Y,N,N
1999,NYB,MetroStars,32,7,5,25,3,32,64,-32,15,,N,N,N,N
1999,MIF,Miami Fusion,32,13,4,19,5,42,59,-17,29,,Y,N,N,N
1999,NER,New England Revolution,32,12,7,20,5,38,53,-15,26,,N,N,N,N
1999,SJE,San Jose Clash,32,19,3,13,10,48,49,-1,37,,N,N,N,N
1999,TBM,Tampa Bay Mutiny,32,14,7,18,5,51,50,1,32,,Y,N,N,N
2000,CHI,Chicago Fire,32,17,6,9,,67,51,16,57,"2000 MLS Cup Playoffs, 2002 CONCACAF Champions' Cup",Y,Y,N,N
2000,COL,Colorado Rapids,32,13,4,15,,43,59,-16,43,2000 MLS Cup Playoffs,Y,N,N,N
2000,CLM,Columbus Crew,32,11,5,16,,48,58,-10,38,,N,N,N,N
2000,SKC,Kansas City Wizards,32,16,9,7,,47,29,18,57,"2000 MLS Cup Playoffs, 2002 CONCACAF Champions' Cup",Y,Y,Y,Y
2000,DCU,D.C. United,32,8,6,18,,44,63,-19,30,,N,N,N,N
2000,DAL,Dallas Burn,32,14,4,14,,54,54,0,46,2000 MLS Cup Playoffs,Y,N,N,N
2000,LAG,Los Angeles Galaxy,32,14,8,10,,47,37,10,50,2000 MLS Cup Playoffs,Y,N,N,N
2000,NYB,MetroStars,32,17,3,12,,64,56,8,54,2000 MLS Cup Playoffs,Y,N,N,N
2000,MIF,Miami Fusion,32,12,5,15,,54,56,-2,41,,N,N,N,N
2000,NER,New England Revolution,32,13,6,13,,47,49,-2,45,2000 MLS Cup Playoffs,Y,N,N,N
2000,SJE,San Jose Earthquakes,32,7,8,17,,35,50,-15,29,,N,N,N,N
2000,TBM,Tampa Bay Mutiny,32,16,4,12,,62,50,12,52,2000 MLS Cup Playoffs,Y,N,N,N
2001,CHI,Chicago Fire,27,16,5,6,,50,30,20,53,,Y,N,N,N
2001,COL,Colorado Rapids,26,5,8,13,,36,47,-11,23,,N,N,N,N
2001,CLM,Columbus Crew,26,13,6,7,,49,36,13,45,,Y,N,N,N
2001,SJE,San Jose Earthquakes,26,13,6,7,,47,29,18,45,,Y,Y,Y,N
2001,DCU,D.C. United,26,8,2,16,,42,50,-8,26,,N,N,N,N
2001,DAL,Dallas Burn,26,10,5,11,,48,47,1,35,,Y,N,N,N
2001,SKC,Kansas City Wizards,27,11,3,13,,33,53,-20,36,,Y,N,N,N
2001,LAG,Los Angeles Galaxy,26,14,5,7,,52,36,16,47,,Y,Y,N,N
2001,NYB,MetroStars,26,13,3,10,,38,35,3,42,,Y,N,N,N
2001,MIF,Miami Fusion,26,16,5,5,,57,36,21,53,,Y,N,N,Y
2001,NER,New England Revolution,27,7,6,14,,35,52,-17,27,,N,N,N,N
2001,TBM,Tampa Bay Mutiny,27,4,2,21,,32,68,-36,14,,N,N,N,N
2002,CHI,Chicago Fire,28,11,4,13,,43,38,5,37,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
2002,COL,Colorado Rapids,28,13,4,11,,43,48,-5,43,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
