Season,Season_end,Lg,franchID,Team,W,L,Finals_W,Finals_RU
1946-47,1947,BAA,BOS,Boston Celtics,22,38,N,N
1946-47,1947,BAA,NYK,New York Knicks,33,27,N,N
1946-47,1947,BAA,WAR,Philadelphia Warriors,35,25,Y,N
1947-48,1948,BAA,BOS,Boston Celtics,20,28,N,N
1947-48,1948,BAA,NYK,New York Knicks,26,22,N,N
1947-48,1948,BAA,WAR,Philadelphia Warriors,27,21,N,Y
1948-49,1949,BAA,BOS,Boston Celtics,25,35,N,N
1948-49,1949,BAA,DET,Fort Wayne Pistons,22,38,N,N
1948-49,1949,BAA,MINL,Minneapolis Lakers,44,16,Y,N
1948-49,1949,BAA,NYK,New York Knicks,32,28,N,N
1948-49,1949,BAA,SAC,Rochester Royals,45,15,N,N
1948-49,1949,BAA,WAR,Philadelphia Warriors,28,32,N,N
1949-50,1950,NBA,ATL,Tri-Cities Blackhawks,29,35,N,N
1949-50,1950,NBA,BOS,Boston Celtics,22,46,N,N
1949-50,1950,NBA,DET,Fort Wayne Pistons,40,28,N,N
1949-50,1950,NBA,MINL,Minneapolis Lakers,51,17,Y,N
1949-50,1950,NBA,NYK,New York Knicks,40,28,N,N
1949-50,1950,NBA,PHI,Syracuse Nationals,51,13,N,Y
1949-50,1950,NBA,SAC,Rochester Royals,51,17,N,N
1949-50,1950,NBA,WAR,Philadelphia Warriors,26,42,N,N
1950-51,1951,NBA,ATL,Tri-Cities Blackhawks,25,43,N,N
1950-51,1951,NBA,BOS,Boston Celtics,39,30,N,N
1950-51,1951,NBA,DET,Fort Wayne Pistons,32,36,N,N
1950-51,1951,NBA,MINL,Minneapolis Lakers,44,24,N,N
1950-51,1951,NBA,NYK,New York Knicks,36,30,N,Y
1950-51,1951,NBA,PHI,Syracuse Nationals,32,34,N,N
1950-51,1951,NBA,SAC,Rochester Royals,41,27,Y,N
1950-51,1951,NBA,WAR,Philadelphia Warriors,40,26,N,N
1951-52,1952,NBA,ATL,Milwaukee Hawks,17,49,N,N
1951-52,1952,NBA,BOS,Boston Celtics,39,27,N,N
1951-52,1952,NBA,DET,Fort Wayne Pistons,29,37,N,N
1951-52,1952,NBA,MINL,Minneapolis Lakers,40,26,Y,N
1951-52,1952,NBA,NYK,New York Knicks,37,29,N,Y
1951-52,1952,NBA,PHI,Syracuse Nationals,40,26,N,N
1951-52,1952,NBA,SAC,Rochester Royals,41,25,N,N
1951-52,1952,NBA,WAR,Philadelphia Warriors,33,33,N,N
1952-53,1953,NBA,ATL,Milwaukee Hawks,27,44,N,N
1952-53,1953,NBA,BOS,Boston Celtics,46,25,N,N
1952-53,1953,NBA,DET,Fort Wayne Pistons,36,33,N,N
1952-53,1953,NBA,MINL,Minneapolis Lakers,48,22,Y,N
1952-53,1953,NBA,NYK,New York Knicks,47,23,N,Y
1952-53,1953,NBA,PHI,Syracuse Nationals,47,24,N,N
1952-53,1953,NBA,SAC,Rochester Royals,44,26,N,N
1952-53,1953,NBA,WAR,Philadelphia Warriors,12,57,N,N
1953-54,1954,NBA,ATL,Milwaukee Hawks,21,51,N,N
1953-54,1954,NBA,BOS,Boston Celtics,42,30,N,N
1953-54,1954,NBA,DET,Fort Wayne Pistons,40,32,N,N
1953-54,1954,NBA,MINL,Minneapolis Lakers,46,26,Y,N
1953-54,1954,NBA,NYK,New York Knicks,44,28,N,N
1953-54,1954,NBA,PHI,Syracuse Nationals,42,30,N,Y
1953-54,1954,NBA,SAC,Rochester Royals,44,28,N,N
1953-54,1954,NBA,WAR,Philadelphia Warriors,29,43,N,N
1954-55,1955,NBA,ATL,Milwaukee Hawks,26,46,N,N
1954-55,1955,NBA,BOS,Boston Celtics,36,36,N,N
1954-55,1955,NBA,DET,Fort Wayne Pistons,43,29,N,Y
1954-55,1955,NBA,MINL,Minneapolis Lakers,40,32,N,N
1954-55,1955,NBA,NYK,New York Knicks,38,34,N,N
1954-55,1955,NBA,PHI,Syracuse Nationals,43,29,Y,N
1954-55,1955,NBA,SAC,Rochester Royals,29,43,N,N
1954-55,1955,NBA,WAR,Philadelphia Warriors,33,39,N,N
1955-56,1956,NBA,ATL,St. Louis Hawks,33,39,N,N
1955-56,1956,NBA,BOS,Boston Celtics,39,33,N,N
1955-56,1956,NBA,DET,Fort Wayne Pistons,37,35,N,Y
1955-56,1956,NBA,MINL,Minneapolis Lakers,33,39,N,N
1955-56,1956,NBA,NYK,New York Knicks,35,37,N,N
1955-56,1956,NBA,PHI,Syracuse Nationals,35,37,N,N
1955-56,1956,NBA,SAC,Rochester Royals,31,41,N,N
1955-56,1956,NBA,WAR,Philadelphia Warriors,45,27,Y,N
1956-57,1957,NBA,ATL,St. Louis Hawks,34,38,N,Y
1956-57,1957,NBA,BOS,Boston Celtics,44,28,Y,N
1956-57,1957,NBA,DET,Fort Wayne Pistons,34,38,N,N
1956-57,1957,NBA,MINL,Minneapolis Lakers,34,38,N,N
1956-57,1957,NBA,NYK,New York Knicks,36,36,N,N
1956-57,1957,NBA,PHI,Syracuse Nationals,38,34,N,N
1956-57,1957,NBA,SAC,Rochester Royals,31,41,N,N
1956-57,1957,NBA,WAR,Philadelphia Warriors,37,35,N,N
1957-58,1958,NBA,ATL,St. Louis Hawks,41,31,Y,N
1957-58,1958,NBA,BOS,Boston Celtics,49,23,N,Y
1957-58,1958,NBA,DET,Detroit Pistons,33,39,N,N
1957-58,1958,NBA,MINL,Minneapolis Lakers,19,53,N,N
1957-58,1958,NBA,NYK,New York Knicks,35,37,N,N
1957-58,1958,NBA,PHI,Syracuse Nationals,41,31,N,N
1957-58,1958,NBA,SAC,Cincinnati Royals,33,39,N,N
1957-58,1958,NBA,WAR,Philadelphia Warriors,37,35,N,N
1958-59,1959,NBA,ATL,St. Louis Hawks,49,23,N,N
1958-59,1959,NBA,BOS,Boston Celtics,52,20,Y,N
1958-59,1959,NBA,DET,Detroit Pistons,28,44,N,N
1958-59,1959,NBA,MINL,Minneapolis Lakers,33,39,N,Y
1958-59,1959,NBA,NYK,New York Knicks,40,32,N,N
1958-59,1959,NBA,PHI,Syracuse Nationals,35,37,N,N
1958-59,1959,NBA,SAC,Cincinnati Royals,19,53,N,N
1958-59,1959,NBA,WAR,Philadelphia Warriors,32,40,N,N
1959-60,1960,NBA,ATL,St. Louis Hawks,46,29,N,Y
1959-60,1960,NBA,BOS,Boston Celtics,59,16,Y,N
1959-60,1960,NBA,DET,Detroit Pistons,30,45,N,N
1959-60,1960,NBA,MINL,Minneapolis Lakers,25,50,N,N
1959-60,1960,NBA,NYK,New York Knicks,27,48,N,N
1959-60,1960,NBA,PHI,Syracuse Nationals,45,30,N,N
1959-60,1960,NBA,SAC,Cincinnati Royals,19,56,N,N
1959-60,1960,NBA,WAR,Philadelphia Warriors,49,26,N,N
1960-61,1961,NBA,ATL,St. Louis Hawks,51,28,N,Y
1960-61,1961,NBA,BOS,Boston Celtics,57,22,Y,N
1960-61,1961,NBA,DET,Detroit Pistons,34,45,N,N
1960-61,1961,NBA,MINL,Los Angeles Lakers,36,43,N,N
1960-61,1961,NBA,NYK,New York Knicks,21,58,N,N
1960-61,1961,NBA,PHI,Syracuse Nationals,38,41,N,N
1960-61,1961,NBA,SAC,Cincinnati Royals,33,46,N,N
1960-61,1961,NBA,WAR,Philadelphia Warriors,46,33,N,N
1961-62,1962,NBA,ATL,St. Louis Hawks,29,51,N,N
1961-62,1962,NBA,BOS,Boston Celtics,60,20,Y,N
1961-62,1962,NBA,CHIP,Chicago Packers,18,62,N,N
1961-62,1962,NBA,DET,Detroit Pistons,37,43,N,N
1961-62,1962,NBA,MINL,Los Angeles Lakers,54,26,N,Y
1961-62,1962,NBA,NYK,New York Knicks,29,51,N,N
1961-62,1962,NBA,PHI,Syracuse Nationals,41,39,N,N
1961-62,1962,NBA,SAC,Cincinnati Royals,43,37,N,N
