ConfRank,School,W,L,T,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes,yearID,Conf
1,Washington,10,1,0,0.909,23,6.6,17.12,3.21,,8,8,,1959,aawu
2,USC,8,2,0,0.8,19.5,9,14.86,5.06,,4,14,,1959,aawu
3,UCLA,5,4,1,0.55,16.9,15,7.57,7.37,,17,,,1959,aawu
4,California,2,8,0,0.2,11.5,22.3,0.57,10.27,,,,,1959,aawu
5,Stanford,3,7,0,0.3,23.2,26.1,2.39,5.49,,,,,1959,aawu
1,Washington,10,1,0,0.909,24.7,9.7,14.37,1.46,3,3,6,,1960,aawu
2,USC,4,6,0,0.4,9.5,15.2,2.64,7.94,6,6,,,1960,aawu
3,UCLA,7,2,1,0.75,17.5,8.4,13.21,4.41,,8,,,1960,aawu
4,California,2,7,1,0.25,9.3,19.5,-5.42,4.68,,,,,1960,aawu
5,Stanford,0,10,0,0,11.1,25.4,-11.52,3.68,,,,,1960,aawu
1,UCLA,7,4,0,0.636,16.8,12.9,7.9,3.9,,9,,,1961,aawu
2,Washington,5,4,1,0.55,11.9,9.8,2.56,0.66,,,,,1961,aawu
3,USC,4,5,1,0.45,15,16.7,1.41,3.61,,,,,1961,aawu
4,Stanford,4,6,0,0.4,10.5,16.3,-3.44,1.86,,,,,1961,aawu
5,California,1,8,1,0.15,11.8,26.8,-5.4,7.9,,,,,1961,aawu
1,USC,11,0,0,1,23.7,8.4,23.29,8.66,,1,1,,1962,aawu
2,Washington,7,1,2,0.8,20.8,8.3,16.98,6.28,10,7,,,1962,aawu
3,Washington State,5,4,1,0.55,21.3,16.7,4.53,2.33,,,,,1962,aawu
4,Stanford,5,5,0,0.5,12.4,17.4,2.79,6.59,,,,,1962,aawu
5,UCLA,4,6,0,0.4,11.8,13.9,3.05,4.85,,,,,1962,aawu
6,California,1,9,0,0.1,14.3,24.7,-1.94,8.96,,,,,1962,aawu
1,Washington,6,5,0,0.545,16.6,12.8,12.09,8.91,10,10,,,1963,aawu
2,USC,7,3,0,0.7,20.7,11.4,15.77,7.67,1,1,,,1963,aawu
3,Washington State,3,6,1,0.35,9.5,16,-1.32,4.88,,,,,1963,aawu
4,UCLA,2,8,0,0.2,9.6,21.9,-0.42,11.38,,,,,1963,aawu
5,California,4,5,1,0.45,19.5,21.3,5.72,7.02,,,,,1963,aawu
6,Stanford,3,7,0,0.3,15.4,19.9,1.76,6.76,,,,,1963,aawu
1,Oregon State,8,3,0,0.727,13.5,11.3,11.35,7.71,,8,8,,1964,aawu
2,USC,7,3,0,0.7,20.7,13,17.84,10.14,,2,10,,1964,aawu
3,Washington,6,4,0,0.6,13.9,11,11.24,8.04,7,7,,,1964,aawu
4,UCLA,4,6,0,0.4,14.5,23.6,4.83,12.43,,,,,1964,aawu
5,Stanford,5,5,0,0.5,15,13.8,10.13,8.63,,,,,1964,aawu
6,Oregon,7,2,1,0.75,17,10.7,11.1,5.8,,7,,,1964,aawu
7,Washington State,3,6,1,0.35,16.5,20.8,-2.99,3.32,,,,,1964,aawu
8,California,3,7,0,0.3,15.2,18.7,6.86,10.76,,,,,1964,aawu
1,UCLA,8,2,1,0.773,23.4,15.3,21.11,14.56,,4,4,,1965,aawu
2,USC,7,2,1,0.75,26.2,9.2,20.65,9.05,7,4,10,,1965,aawu
3,Washington State,7,3,0,0.7,13.9,10.3,3.66,-0.74,,,,,1965,aawu
4,Washington,5,5,0,0.5,20.5,18.5,9.66,8.56,,,,,1965,aawu
5,Stanford,6,3,1,0.65,14.4,14.9,7.93,6.03,,,,,1965,aawu
6,California,5,5,0,0.5,12.5,19.4,8.58,9.98,,,,,1965,aawu
7,Oregon State,5,5,0,0.5,12.5,16.2,4.16,6.26,,,,,1965,aawu
8,Oregon,4,5,1,0.45,16.5,18.6,0.87,2.97,,,,,1965,aawu
1,USC,7,4,0,0.636,18.1,11.6,15.55,8.64,9,5,,,1966,aawu
2,UCLA,9,1,0,0.9,28.1,12.7,15.64,3.24,4,2,5,,1966,aawu
3,Oregon State,7,3,0,0.7,17.1,15.6,3.62,0.02,,,,,1966,aawu
4,Washington,6,4,0,0.6,17.1,14.1,5.01,1.81,,,,,1966,aawu
5,California,3,7,0,0.3,13.1,19.7,-3.45,3.15,,,,,1966,aawu
6,Oregon,3,7,0,0.3,11.8,12.9,-2.67,0.03,,,,,1966,aawu
7,Washington State,3,7,0,0.3,13.2,20.9,-5.31,1.49,,,,,1966,aawu
8,Stanford,5,5,0,0.5,14.9,14.6,2.97,2.67,,,,,1966,aawu
1,USC,10,1,0,0.909,23.5,7.9,20.33,6.88,7,1,1,,1967,aawu
2,Oregon State,7,2,1,0.75,18.7,13.7,12.21,6.71,,7,7,,1967,aawu
3,UCLA,7,2,1,0.75,28.4,16.1,16.46,7.36,8,1,,,1967,aawu
4,Stanford,5,5,0,0.5,15.7,17.9,3.53,4.73,,,,,1967,aawu
5,Washington,5,5,0,0.5,13.6,13,6.33,4.03,,,,,1967,aawu
6,California,5,5,0,0.5,15.5,19.5,3.16,5.26,,,,,1967,aawu
7,Oregon,2,8,0,0.2,10.4,19.3,-5.55,3.36,,,,,1967,aawu
8,Washington State,2,8,0,0.2,14.1,26.6,-5.25,5.55,,,,,1967,aawu
1,Maryland,10,1,0,0.909,27.1,3.5,21.3,2.49,9,1,1,,1953,acc
2,Duke,7,2,1,0.75,21.7,8.1,9.41,-0.79,10,7,18,,1953,acc
3,South Carolina,7,3,0,0.7,19.8,9.7,3.55,-3.95,,15,,,1953,acc
4,North Carolina,4,6,0,0.4,17.3,18.7,-2.62,0.08,,,,,1953,acc
5,Wake Forest,3,6,1,0.35,11.4,15.7,-9.47,-4.67,,,,,1953,acc
6,Clemson,3,5,1,0.389,15.4,19.1,-2.79,-0.01,,,,,1953,acc
7,North Carolina State,1,9,0,0.1,8,26.5,-18.51,-4.81,,,,,1953,acc
1,Duke,8,2,1,0.773,24.5,14.6,12.49,4.49,15,6,14,,1954,acc
2,Maryland,7,2,1,0.75,28,6.7,18,4.2,3,3,8,,1954,acc
3,North Carolina,4,5,1,0.45,14,22.2,-0.93,4.37,,,,,1954,acc
4,South Carolina,6,4,0,0.6,17.2,15.3,4.93,3.03,,15,,,1954,acc
5,Clemson,5,5,0,0.5,19.3,12.1,4.7,2.1,,,,,1954,acc
6,Wake Forest,2,7,1,0.25,12.9,16.5,-1.06,2.84,,,,,1954,acc
7,Virginia,3,6,0,0.333,12.6,18,-2.88,2.23,,,,,1954,acc
8,North Carolina State,2,8,0,0.2,10.4,19.3,-6.02,3.09,,,,,1954,acc
1,Maryland,10,1,0,0.909,19.7,7,18.06,5.06,5,1,3,,1955,acc
2,Duke,7,2,1,0.75,19.6,9.5,11.56,3.76,18,5,,,1955,acc
3,Clemson,7,3,0,0.7,20.6,14.4,3.35,-2.26,,16,,,1955,acc
4,Wake Forest,5,4,1,0.55,13.1,15.3,0.5,0.5,,,,,1955,acc
5,North Carolina,3,7,0,0.3,11.7,21.8,-2.78,5.62,,,,,1955,acc
6,North Carolina State,4,5,1,0.45,20.6,19.3,-3.48,-4.48,,,,,1955,acc
7,South Carolina,3,6,0,0.333,13.3,23.2,-8.96,-0.73,,,,,1955,acc
8,Virginia,1,9,0,0.1,9.6,20.1,-11.43,-0.83,,,,,1955,acc
1,Clemson,7,2,2,0.727,15.2,9.2,8.01,2.01,,11,19,,1956,acc
2,Duke,5,4,1,0.55,18.4,10,12.47,6.97,16,16,,,1956,acc
3,South Carolina,7,3,0,0.7,12.6,6.7,6.14,0.24,,17,,,1956,acc
4,Maryland,2,7,1,0.25,6.8,16.8,-0.36,8.84,6,6,,,1956,acc
5,North Carolina,2,7,1,0.25,9.9,18.3,-2.19,5.41,,,,,1956,acc
6,North Carolina State,3,7,0,0.3,9.4,16.9,-2.21,3.09,,20,,,1956,acc
