yearID,franchID,Lg,Tm,W,L,T,Div. Finish,Playoffs,ch_sb_win,ch_sb_app
2022,ARZ,NFL,Arizona Cardinals,4,13,0,4th of 4,,N,N
2021,ARZ,NFL,Arizona Cardinals,11,6,0,2nd of 4,Lost WC,N,N
2020,ARZ,NFL,Arizona Cardinals,8,8,0,3rd of 4,,N,N
2019,ARZ,NFL,Arizona Cardinals,5,10,1,4th of 4,,N,N
2018,ARZ,NFL,Arizona Cardinals,3,13,0,4th of 4,,N,N
2017,ARZ,NFL,Arizona Cardinals,8,8,0,3rd of 4,,N,N
2016,ARZ,NFL,Arizona Cardinals,7,8,1,2nd of 4,,N,N
2015,ARZ,NFL,Arizona Cardinals,13,3,0,1st of 4,Lost Conf,N,N
2014,ARZ,NFL,Arizona Cardinals,11,5,0,2nd of 4,Lost WC,N,N
2013,ARZ,NFL,Arizona Cardinals,10,6,0,3rd of 4,,N,N
2012,ARZ,NFL,Arizona Cardinals,5,11,0,4th of 4,,N,N
2011,ARZ,NFL,Arizona Cardinals,8,8,0,2nd of 4,,N,N
2010,ARZ,NFL,Arizona Cardinals,5,11,0,4th of 4,,N,N
2009,ARZ,NFL,Arizona Cardinals,10,6,0,1st of 4,Lost Div,N,N
2008,ARZ,NFL,Arizona Cardinals,9,7,0,1st of 4,Lost SB,N,Y
2007,ARZ,NFL,Arizona Cardinals,8,8,0,2nd of 4,,N,N
2006,ARZ,NFL,Arizona Cardinals,5,11,0,4th of 4,,N,N
2005,ARZ,NFL,Arizona Cardinals,5,11,0,3rd of 4,,N,N
2004,ARZ,NFL,Arizona Cardinals,6,10,0,3rd of 4,,N,N
2003,ARZ,NFL,Arizona Cardinals,4,12,0,4th of 4,,N,N
2002,ARZ,NFL,Arizona Cardinals,5,11,0,4th of 4,,N,N
2001,ARZ,NFL,Arizona Cardinals,7,9,0,4th of 5,,N,N
2000,ARZ,NFL,Arizona Cardinals,3,13,0,5th of 5,,N,N
1999,ARZ,NFL,Arizona Cardinals,6,10,0,4th of 5,,N,N
1998,ARZ,NFL,Arizona Cardinals,9,7,0,2nd of 5,Lost Div,N,N
1997,ARZ,NFL,Arizona Cardinals,4,12,0,5th of 5,,N,N
1996,ARZ,NFL,Arizona Cardinals,7,9,0,4th of 5,,N,N
1995,ARZ,NFL,Arizona Cardinals,4,12,0,5th of 5,,N,N
1994,ARZ,NFL,Arizona Cardinals,8,8,0,3rd of 5,,N,N
1993,ARZ,NFL,Phoenix Cardinals,7,9,0,4th of 5,,N,N
