yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1909,NHA,COB,BKN,Cobalt Silver Kings,,,,12,4,8,0,
1909,NHA,HAI,MTL,Haileybury Hockey Club,,,,12,4,8,0,
1909,NHA,LES,TBS,Les Canadiens,,,,12,2,10,0,
1909,NHA,MOS,MOS,Montreal Shamrocks,,,,12,3,8,1,
1909,NHA,MOW,MTW,Montreal Wanderers,,,,12,11,1,0,
1909,NHA,OT1,STE,Ottawa Senators,,,,12,9,3,0,
1909,NHA,REN,REN,Renfrew Creamery Kings,,,,12,8,3,1,
1910,NHA,MOC,MTL,Montreal Canadiens,,,,16,8,8,0,
1910,NHA,MOW,MTW,Montreal Wanderers,,,,16,7,9,0,
1910,NHA,OT1,STE,Ottawa Senators,,,,16,13,3,0,
1910,NHA,QU1,BKN,Quebec Bulldogs,,,,16,4,12,0,
1910,NHA,REN,REN,Renfrew Creamery Kings,,,,16,8,8,0,
1911,NHA,MOC,MTL,Montreal Canadiens,,,,18,8,10,0,
1911,NHA,MOW,MTW,Montreal Wanderers,,,,18,9,9,0,
1911,NHA,OT1,STE,Ottawa Senators,,,,18,9,9,0,
1911,NHA,QU1,BKN,Quebec Bulldogs,,,,18,10,8,0,
1911,PCHA,NWR,PO1,New Westminster Royals,,,,15,9,6,0,
1911,PCHA,VA1,SPO,Victoria Aristocrats,,,,16,7,9,0,
1911,PCHA,VML,VMR,Vancouver Millionaires,,,,15,7,8,0,
1912,NHA,MOC,MTL,Montreal Canadiens,,,,20,9,11,0,
1912,NHA,MOW,MTW,Montreal Wanderers,,,,20,10,10,0,
1912,NHA,OT1,STE,Ottawa Senators,,,,20,9,11,0,
1912,NHA,QU1,BKN,Quebec Bulldogs,,,LCS,20,16,4,0,
1912,NHA,TBS,TBS,Toronto Blueshirts,,,,20,9,11,0,
1912,NHA,TO1,TOO,Toronto Tecumsehs,,,,20,7,13,0,
1912,PCHA,NWR,PO1,New Westminster Royals,,,,13,4,9,0,
1912,PCHA,VA1,SPO,Victoria Aristocrats,,,WCS,15,10,5,0,
1912,PCHA,VML,VMR,Vancouver Millionaires,,,,14,7,7,0,
1913,NHA,MOC,MTL,Montreal Canadiens,,,NHAF,20,13,7,0,
1913,NHA,MOW,MTW,Montreal Wanderers,,,,20,7,13,0,
1913,NHA,OT1,STE,Ottawa Senators,,,,20,11,9,0,
1913,NHA,QU1,BKN,Quebec Bulldogs,,,,20,12,8,0,
1913,NHA,TBS,TBS,Toronto Blueshirts,,,SC,20,13,7,0,
1913,NHA,TOO,TOO,Toronto Ontarios,,,,20,4,16,0,
1913,PCHA,NWR,PO1,New Westminster Royals,,,,16,7,9,0,
1913,PCHA,VA1,SPO,Victoria Aristocrats,,,F,16,10,6,0,
1913,PCHA,VML,VMR,Vancouver Millionaires,,,,16,7,9,0,
1914,NHA,MOC,MTL,Montreal Canadiens,,,,20,6,14,0,
1914,NHA,MOW,MTW,Montreal Wanderers,,,NHAF,20,14,6,0,
1914,NHA,OT1,STE,Ottawa Senators,,,F,20,14,6,0,
1914,NHA,QU1,BKN,Quebec Bulldogs,,,,20,11,9,0,
1914,NHA,TBS,TBS,Toronto Blueshirts,,,,20,8,12,0,
1914,NHA,TOO,TOO,Toronto Ontarios/Shamrocks,,,,20,7,13,0,
1914,PCHA,PO1,PO1,Portland Rosebuds,,,,18,9,9,0,
1914,PCHA,VA1,SPO,Victoria Aristocrats,,,,17,4,13,0,
1914,PCHA,VML,VMR,Vancouver Millionaires,,,SC,17,13,4,0,
1915,NHA,MOC,MTL,Montreal Canadiens,,,SC,24,16,7,1,
1915,NHA,MOW,MTW,Montreal Wanderers,,,,24,10,14,0,
1915,NHA,OT1,STE,Ottawa Senators,,,,24,13,11,0,
1915,NHA,QU1,BKN,Quebec Bulldogs,,,,24,10,12,2,
1915,NHA,TBS,TBS,Toronto Blueshirts,,,,24,9,14,1,
1915,PCHA,PO1,PO1,Portland Rosebuds,,,F,18,13,5,0,
1915,PCHA,SEA,SEA,Seattle Metropolitans,,,,18,9,9,0,
1915,PCHA,VA1,SPO,Victoria Aristocrats,,,,18,5,13,0,
1915,PCHA,VML,VMR,Vancouver Millionaires,,,,18,9,9,0,
1916,NHA,MOC,MTL,Montreal Canadiens,,,F,20,10,10,0,
1916,NHA,MOW,MTW,Montreal Wanderers,,,,20,5,15,0,
1916,NHA,OT1,STE,Ottawa Senators,,,NHAF,20,15,5,0,
1916,NHA,QU1,BKN,Quebec Bulldogs,,,,20,10,10,0,
1916,NHA,TBS,TBS,Toronto Blueshirts,,,,14,7,7,0,
1916,NHA,TOB,TOB,228th Battalion,,,,14,7,7,0,
1916,PCHA,PO1,PO1,Portland Rosebuds,,,,24,9,15,0,
1916,PCHA,SEA,SEA,Seattle Metropolitans,,,SC,24,16,8,0,
1916,PCHA,SPO,SPO,Spokane Canaries,,,,23,8,15,0,
1916,PCHA,VML,VMR,Vancouver Millionaires,,,,23,14,9,0,
1917,NHL,MTL,MTL,Montreal Canadiens,,,NHLF,22,13,9,0,
1917,NHL,MTW,MTW,Montreal Wanderers,,,,6,1,5,0,
1917,NHL,OTS,STE,Ottawa Senators,,,,22,9,13,0,
1917,NHL,TOA,TOR,Toronto Arenas,,,SC,22,13,9,0,
1917,PCHA,PO1,PO1,Portland Rosebuds,,,,18,7,11,0,
1917,PCHA,SEA,SEA,Seattle Metropolitans,,,PF,18,11,7,0,
1917,PCHA,VML,VMR,Vancouver Millionaires,,,F,18,9,9,0,
1918,NHL,MTL,MTL,Montreal Canadiens,,,ND,18,10,8,0,
1918,NHL,OTS,STE,Ottawa Senators,,,NHLF,18,12,6,0,
1918,NHL,TOA,TOR,Toronto Arenas,,,,18,5,13,0,
1918,PCHA,SEA,SEA,Seattle Metropolitans,,,ND,20,11,9,0,
1918,PCHA,VA2,VIC,Victoria Aristocrats,,,,20,7,13,0,
1918,PCHA,VML,VMR,Vancouver Millionaires,,,PF,20,12,8,0,
1919,NHL,MTL,MTL,Montreal Canadiens,,,,24,13,11,0,
1919,NHL,OTS,STE,Ottawa Senators,,,SC,24,19,5,0,
1919,NHL,QUB,BKN,Quebec Bulldogs,,,,24,4,20,0,
1919,NHL,TRS,TOR,Toronto St. Patricks,,,,24,12,12,0,
1919,PCHA,SEA,SEA,Seattle Metropolitans,,,F,22,12,10,0,
1919,PCHA,VA2,VIC,Victoria Aristocrats,,,,22,10,12,0,
1919,PCHA,VML,VMR,Vancouver Millionaires,,,PF,22,11,11,0,
