rank,franchID,team,P,W,L,D,yearID,Cwin,CRU
1,BRI,Brisbane,24,18,5,1,1998,Y,N
2,NEC,Newcastle,24,18,5,1,1998,N,N
3,MEL,Melbourne,24,17,6,1,1998,N,N
4,PAR,Parramatta,24,17,6,1,1998,N,N
5,NSY,North Sydney,24,17,7,-,1998,N,N
6,SYD,Sydney City,24,16,8,-,1998,N,N
7,CAN,Canberra,24,15,9,-,1998,N,N
8,STG,St George,24,13,10,1,1998,N,N
9,BUL,Canterbury,24,13,11,-,1998,N,Y
10,MAN,Manly,24,13,11,-,1998,N,N
11,CRO,Cronulla,24,12,11,1,1998,N,N
12,STE,Illawarra,24,11,12,1,1998,N,N
13,BAL,Balmain,24,9,14,1,1998,N,N
14,PEN,Penrith,24,8,14,2,1998,N,N
15,WAR,Auckland,24,9,15,-,1998,N,N
16,NOQ,North Queensland,24,9,15,-,1998,N,N
17,RAM,Adelaide,24,7,17,-,1998,N,N
18,SSY,South Sydney,24,5,19,-,1998,N,N
19,COA,Gold Coast,24,4,20,-,1998,N,N
20,WSU,Western Suburbs,24,4,20,-,1998,N,N
1,CRO,Sharks,24,18,6,-,1999,N,N
2,PAR,Parramatta,24,17,7,-,1999,N,N
3,MEL,Melbourne,24,16,8,-,1999,Y,N
4,SYD,Sydney City,24,16,8,-,1999,N,N
5,BUL,Canterbury,24,15,8,1,1999,N,Y
6,STG,St George Illawarra,24,15,9,-,1999,N,N
7,NEC,Newcastle,24,14,9,1,1999,N,N
8,BRI,Brisbane,24,13,9,2,1999,N,N
9,CAN,Canberra,24,13,10,1,1999,N,N
10,PEN,Penrith,24,11,12,1,1999,N,N
11,WAR,Auckland,24,10,14,-,1999,N,N
12,SSY,South Sydney,24,10,14,-,1999,N,N
13,MAN,Manly,24,9,14,1,1999,N,N
14,NSY,North Sydney,24,8,16,-,1999,N,N
15,BAL,Balmain,24,8,16,-,1999,N,N
16,NOQ,North Queensland,24,4,19,1,1999,N,N
17,WSU,Western Suburbs,24,3,21,-,1999,N,N
1,BRI,Brisbane,26,18,6,2,2000,Y,N
2,SYD,Sydney,26,16,10,-,2000,N,Y
3,NEC,Newcastle,26,15,10,1,2000,N,N
4,CAN,Canberra,26,15,11,-,2000,N,N
5,PEN,Penrith,26,15,11,-,2000,N,N
6,MEL,Melbourne,26,14,11,1,2000,N,N
7,PAR,Parramatta,26,14,11,1,2000,N,N
8,CRO,Sharks,26,13,13,-,2000,N,N
