franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,yearID
Milan,1,34,21,10,3,60,24,36,73,2.15,1996
Juventus,2,34,19,8,7,58,35,23,65,1.91,1996
Lazio,3,34,17,8,9,66,38,28,59,1.74,1996
Fiorentina,4,34,17,8,9,53,41,12,59,1.74,1996
Roma,5,34,16,10,8,51,34,17,58,1.71,1996
Parma,6,34,16,10,8,44,31,13,58,1.71,1996
Internazionale,7,34,15,9,10,51,30,21,54,1.59,1996
Sampdoria,8,34,14,10,10,59,47,12,52,1.53,1996
Vicenza,9,34,13,10,11,36,37,-1,49,1.44,1996
Udinese,11,34,11,8,15,41,49,-8,41,1.21,1996
Napoli,12,34,10,11,13,28,41,-13,41,1.21,1996
Cagliari,10,34,11,8,15,34,47,-13,41,1.21,1996
Atalanta,13,34,11,6,17,38,50,-12,39,1.15,1996
Piacenza,14,34,9,10,15,31,48,-17,37,1.09,1996
Bari,15,34,8,8,18,49,71,-22,32,0.94,1996
Torino,16,34,6,11,17,28,46,-18,29,0.85,1996
Cremonese,17,34,5,12,17,37,57,-20,27,0.79,1996
Padova,18,34,7,3,24,41,79,-38,24,0.71,1996
Juventus,1,34,17,14,3,51,24,27,65,1.91,1997
Parma,2,34,18,9,7,41,26,15,63,1.85,1997
Internazionale,3,34,15,14,5,51,35,16,59,1.74,1997
Lazio,4,34,15,10,9,54,37,17,55,1.62,1997
Udinese,5,34,15,9,10,53,41,12,54,1.59,1997
Sampdoria,6,34,14,11,9,60,46,14,53,1.56,1997
Bologna,7,34,13,10,11,50,44,6,49,1.44,1997
Vicenza,8,34,12,11,11,43,38,5,47,1.38,1997
Fiorentina,9,34,10,15,9,46,41,5,45,1.32,1997
Atalanta,10,34,11,11,12,44,46,-2,44,1.29,1997
Milan,11,34,11,10,13,43,45,-2,43,1.26,1997
Roma,12,34,10,11,13,46,47,-1,41,1.21,1997
Napoli,13,34,9,14,11,38,45,-7,41,1.21,1997
Cagliari,15,34,9,10,15,45,55,-10,37,1.09,1997
Perugia,16,34,10,7,17,48,62,-14,37,1.09,1997
Piacenza,14,34,7,16,11,29,45,-16,37,1.09,1997
Hellas Verona,17,34,6,9,19,38,64,-26,27,0.79,1997
Reggiana,18,34,2,13,19,28,67,-39,19,0.56,1997
Juventus,1,34,21,11,2,67,28,39,74,2.18,1998
Internazionale,2,34,21,6,7,62,27,35,69,2.03,1998
Udinese,3,34,19,7,8,62,40,22,64,1.88,1998
Roma,4,34,16,11,7,67,42,25,59,1.74,1998
Fiorentina,5,34,15,12,7,65,36,29,57,1.68,1998
Parma,6,34,15,12,7,55,39,16,57,1.68,1998
Lazio,7,34,16,8,10,53,30,23,56,1.65,1998
Bologna,8,34,12,12,10,55,46,9,48,1.41,1998
Sampdoria,9,34,13,9,12,52,55,-3,48,1.41,1998
Milan,10,34,11,11,12,37,43,-6,44,1.29,1998
Bari,11,34,10,8,16,30,45,-15,38,1.12,1998
Empoli,12,34,10,7,17,50,58,-8,37,1.09,1998
Piacenza,13,34,7,16,11,29,38,-9,37,1.09,1998
Vicenza,14,34,9,9,16,36,61,-25,36,1.06,1998
Brescia,15,34,9,8,17,45,63,-18,35,1.03,1998
Atalanta,16,34,7,11,16,25,48,-23,32,0.94,1998
Lecce,17,34,6,8,20,32,72,-40,26,0.76,1998
Napoli,18,34,2,8,24,25,76,-51,14,0.41,1998
Milan,1,34,20,10,4,59,34,25,70,2.06,1999
Lazio,2,34,20,9,5,65,31,34,69,2.03,1999
Fiorentina,3,34,16,8,10,55,41,14,56,1.65,1999
Parma,4,34,15,10,9,55,36,19,55,1.62,1999
Roma,5,34,15,9,10,69,49,20,54,1.59,1999
Juventus,7,34,15,9,10,42,36,6,54,1.59,1999
Udinese,6,34,16,6,12,52,52,0,54,1.59,1999
Inter,8,34,13,7,14,59,54,5,46,1.35,1999
Bologna,9,34,11,11,12,44,47,-3,44,1.29,1999
Bari,10,34,9,15,10,39,44,-5,42,1.24,1999
Venezia,11,34,11,9,14,38,45,-7,42,1.24,1999
Cagliari,13,34,11,8,15,49,50,-1,41,1.21,1999
Piacenza,12,34,11,8,15,48,49,-1,41,1.21,1999
Perugia,14,34,11,6,17,43,61,-18,39,1.15,1999
Salernitana,15,34,10,8,16,37,51,-14,38,1.12,1999
Sampdoria,16,34,9,10,15,38,55,-17,37,1.09,1999
Vicenza,17,34,8,9,17,27,47,-20,33,0.97,1999
Empoli,18,34,4,10,20,26,63,-37,20,0.59,1999
Lazio,1,34,21,9,4,64,33,31,72,2.12,2000
