franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,yearID
Dortmund,1,34,19,11,4,76,38,38,68,2,1996
Bayern Munich,2,34,19,5,10,66,46,20,62,1.82,1996
Schalke 04,3,34,14,14,6,45,36,9,56,1.65,1996
M'Gladbach,4,34,15,8,11,52,51,1,53,1.56,1996
Hamburger SV,5,34,12,14,8,52,47,5,50,1.47,1996
Hansa Rostock,6,34,13,10,11,47,43,4,49,1.44,1996
Karlsruher,7,34,12,12,10,53,47,6,48,1.41,1996
1860 Munich,8,34,11,12,11,52,46,6,45,1.32,1996
Werder Bremen,9,34,10,14,10,39,42,-3,44,1.29,1996
Stuttgart,10,34,10,13,11,59,62,-3,43,1.26,1996
Freiburg,11,34,11,9,14,30,41,-11,42,1.24,1996
KÃ¶ln,12,34,9,13,12,33,35,-2,40,1.18,1996
DÃ¼sseldorf,13,34,8,16,10,40,47,-7,40,1.18,1996
Leverkusen,14,34,8,14,12,37,38,-1,38,1.12,1996
St. Pauli,15,34,9,11,14,43,51,-8,38,1.12,1996
Kaiserslautern,16,34,6,18,10,31,37,-6,36,1.06,1996
Eint Frankfurt,17,34,7,11,16,43,68,-25,32,0.94,1996
Uerdingen,18,34,5,11,18,33,56,-23,26,0.76,1996
Bayern Munich,1,34,20,11,3,68,34,34,71,2.09,1997
Leverkusen,2,34,21,6,7,69,41,28,69,2.03,1997
Dortmund,3,34,19,6,9,63,41,22,63,1.85,1997
Stuttgart,4,34,18,7,9,78,40,38,61,1.79,1997
Bochum,5,34,14,11,9,54,51,3,53,1.56,1997
Karlsruher,6,34,13,10,11,55,44,11,49,1.44,1997
1860 Munich,7,34,13,10,11,56,56,0,49,1.44,1997
Werder Bremen,8,34,14,6,14,53,52,1,48,1.41,1997
MSV Duisburg,9,34,12,9,13,44,49,-5,45,1.32,1997
KÃ¶ln,10,34,13,5,16,62,62,0,44,1.29,1997
M'Gladbach,11,34,12,7,15,46,48,-2,43,1.26,1997
Schalke 04,12,34,11,10,13,35,40,-5,43,1.26,1997
