franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Albacete,20,42,10,12,20,55,81,-26,42,1,1996
Athletic Club,15,42,11,15,16,44,55,-11,48,1.14,1996
Atlético Madrid,1,42,26,9,7,75,32,43,87,2.07,1996
Barcelona,3,42,22,14,6,72,39,33,80,1.9,1996
Celta Vigo,11,42,12,16,14,49,51,-2,52,1.24,1996
Compostela,10,42,17,8,17,47,54,-7,59,1.4,1996
CP Mérida,21,42,10,12,20,37,62,-25,42,1,1996
Deportivo La Coruña,9,42,16,13,13,63,44,19,61,1.45,1996
Espanyol,4,42,20,14,8,63,36,27,74,1.76,1996
Oviedo,14,42,12,12,18,48,67,-19,48,1.14,1996
Racing Sant,17,42,11,14,17,47,69,-22,47,1.12,1996
Rayo Vallecano,19,42,12,8,22,47,75,-28,44,1.05,1996
Real Betis,8,42,16,14,12,61,54,7,62,1.48,1996
Real Madrid,6,42,20,10,12,75,51,24,70,1.67,1996
Real Sociedad,7,42,17,12,13,62,53,9,63,1.5,1996
Salamanca,22,42,8,9,25,53,82,-29,33,0.79,1996
Sevilla,12,42,11,15,16,43,55,-12,48,1.14,1996
Sporting de Gijón,18,42,13,7,22,51,60,-9,46,1.1,1996
Tenerife,5,42,20,12,10,69,54,15,72,1.71,1996
Valencia,2,42,26,5,11,77,51,26,83,1.98,1996
Valladolid,16,42,11,14,17,57,62,-5,47,1.12,1996
Zaragoza,13,42,11,15,16,51,59,-8,48,1.14,1996
Athletic Club,6,42,16,16,10,72,57,15,64,1.52,1997
Atlético Madrid,5,42,20,11,11,76,64,12,71,1.69,1997
Barcelona,2,42,28,6,8,102,48,54,90,2.14,1997
CD Logroñés,22,42,9,6,27,33,85,-52,33,0.79,1997
Celta Vigo,16,42,12,13,17,51,54,-3,49,1.17,1997
Compostela,11,42,13,14,15,52,65,-13,53,1.26,1997
Deportivo La Coruña,3,42,21,14,7,57,30,27,77,1.83,1997
Espanyol,12,42,14,9,19,51,57,-6,51,1.21,1997
Extremadura,19,42,11,11,20,35,64,-29,44,1.05,1997
Hércules,21,42,12,5,25,40,77,-37,41,0.98,1997
Oviedo,17,42,12,12,18,49,65,-16,48,1.14,1997
Racing Sant,13,42,11,17,14,52,54,-2,50,1.19,1997
Rayo Vallecano,18,42,13,6,23,43,62,-19,45,1.07,1997
Real Betis,4,42,21,14,7,81,46,35,77,1.83,1997
Real Madrid,1,42,27,11,4,85,36,49,92,2.19,1997
Real Sociedad,8,42,18,9,15,50,47,3,63,1.5,1997
Sevilla,20,42,12,7,23,50,69,-19,43,1.02,1997
Sporting de Gijón,15,42,13,11,18,45,63,-18,50,1.19,1997
Tenerife,9,42,15,11,16,69,57,12,56,1.33,1997
Valencia,10,42,15,11,16,63,59,4,56,1.33,1997
Valladolid,7,42,18,10,14,57,46,11,64,1.52,1997
Zaragoza,14,42,12,14,16,58,66,-8,50,1.19,1997
Athletic Club,2,38,17,14,7,52,42,10,65,1.71,1998
Atlético Madrid,7,38,16,12,10,79,56,23,60,1.58,1998
