franchID,City,Team,yearID,LG,Ord,G,W,L,T,Cwin,CRU
SHR,Shochiku,Robins,1950,C,1,137,98,35,4,N,Y
CDR,Chuncihi,Dragons,1950,C,2,137,89,44,4,N,N
YMG,Yomiuri,Giants,1950,C,3,140,82,54,4,N,N
HAN,Osaka,Tigers,1950,C,4,140,70,67,3,N,N
YOK,Taiyo,Whales,1950,C,5,140,69,68,3,N,N
NPR,Nishi Nippon,Pirates,1950,C,6,136,50,83,3,N,N
TYS,Kokutetsu,Swallows,1950,C,7,138,42,94,2,N,N
HIR,Hiroshima,Carp,1950,C,8,138,41,96,1,N,N
CLM,Manichi,Orions,1950,P,1,120,81,34,5,Y,N
FUK,Nankai,Hawks,1950,P,2,120,66,49,5,N,N
DAI,Daiei,Stars,1950,P,3,120,62,54,4,N,N
BUF,Hankyu,Braves,1950,P,4,120,54,64,2,N,N
SSL,Nishitetsu,Clippers,1950,P,5,120,51,67,2,N,N
HNF,Tokyo,Flyers,1950,P,6,120,51,69,0,N,N
KIN,Kintetsu,Pearls,1950,P,7,120,44,72,4,N,N
YMG,Yomiuri,Giants,1951,C,1,114,79,29,6,Y,N
CDR,Nagoya,Dragons,1951,C,2,113,62,48,3,N,N
HAN,Osaka,Tigers,1951,C,3,116,61,52,3,N,N
SHR,Shochiku,Robins,1951,C,4,115,53,57,5,N,N
TYS,Koketsu,Swallows,1951,C,5,107,46,59,2,N,N
YOK,Taiyo,Whales,1951,C,6,108,40,64,4,N,N
HIR,Hiroshima,Carp,1951,C,7,99,32,64,3,N,N
FUK,Nankai,Hawks,1951,P,1,104,72,24,8,N,Y
SSL,Nishitetsu,Lions,1951,P,2,105,53,42,10,N,N
CLM,Manichi,Orions,1951,P,3,110,54,51,5,N,N
DAI,Daiei,Stars,1951,P,4,101,41,52,8,N,N
BUF,Hankyu,Braves,1951,P,5,96,37,51,8,N,N
HNF,Tokyo,Flyers,1951,P,6,102,38,56,8,N,N
KIN,Kintetsu,Pearls,1951,P,7,98,37,56,5,N,N
YMG,Yomiuri,Giants,1952,C,1,120,83,37,0,Y,N
HAN,Osaka,Tigers,1952,C,2,120,79,40,1,N,N
CDR,Nagoya,Dragons,1952,C,3,120,75,43,2,N,N
YOK,Taiyo,Whales,1952,C,4,120,58,62,0,N,N
TYS,Koketsu,Swallows,1952,C,5,120,50,70,0,N,N
HIR,Hiroshima,Carp,1952,C,6,120,37,80,3,N,N
SHR,Shochiku,Robins,1952,C,7,120,34,84,2,N,N
FUK,Nankai,Hawks,1952,P,1,121,76,44,1,N,Y
CDR,Manichi,Dragons,1952,P,2,120,75,45,0,N,N
SSL,Nishitetsu,Lions,1952,P,3,120,67,52,1,N,N
DAI,Daiei,Stars,1952,P,4,121,55,65,1,N,N
BUF,Hankyu,Braves,1952,P,5,108,49,58,1,N,N
HNF,Tokyo,Flyers,1952,P,6,108,49,59,0,N,N
KIN,Kintetsu,Pearls,1952,P,7,108,30,78,0,N,N
YMG,Yomiuri,Giants,1953,C,1,125,87,37,1,Y,N
HAN,Osaka,Tigers,1953,C,2,130,74,56,0,N,N
CDR,Chuncihi,Dragons,1953,C,3,130,70,57,3,N,N
HIR,Hiroshima,Carp,1953,C,4,130,53,75,2,N,N
YOK,Taiyo,Robins,1953,C,5,130,52,77,1,N,N
TYS,Kokutetsu,Swallows,1953,C,6,125,45,79,1,N,N
FUK,Nankai,Hawks,1953,P,1,120,71,48,1,N,Y
BUF,Hankyu,Braves,1953,P,2,120,67,52,1,N,N
DAI,Daiei,Stars,1953,P,3,120,63,53,4,N,N
SSL,Nishitetsu,Lions,1953,P,4,120,57,61,2,N,N
CLM,Manichi,Orions,1953,P,5,120,56,62,2,N,N
HNF,Tokyo,Flyers,1953,P,6,120,50,67,3,N,N
KIN,Kintetsu,Pearls,1953,P,7,120,48,69,3,N,N
CDR,Chuncihi,Dragons,1954,C,1,130,86,40,4,Y,N
CDR,Yomiuri,Dragons,1954,C,2,130,82,47,1,N,N
HAN,Osaka,Tigers,1954,C,3,130,71,57,2,N,N
HIR,Hiroshima,Carp,1954,C,4,130,56,69,5,N,N
TYS,Kokutetsu,Swallows,1954,C,5,130,55,73,2,N,N
YMG,Yomiuri,Giants,1954,C,6,130,32,96,2,N,N
SSL,Nishitetsu,Lions,1954,P,1,140,90,47,3,N,Y
FUK,Nankai,Hawks,1954,P,2,140,91,49,0,N,N
CLM,Manichi,Orions,1954,P,3,140,79,57,4,N,N
KIN,Kintetsu,Pearls,1954,P,4,140,74,63,3,N,N
BUF,Hankyu,Braves,1954,P,5,140,66,70,4,N,N
TUN,Takahashi,Unions,1954,P,6,140,53,84,3,N,N
HNF,Toei,Flyers,1954,P,7,140,52,86,2,N,N
DAI,Daiei,Stars,1954,P,8,140,43,92,5,N,N
YMG,Yomiuri,Giants,1955,C,1,130,92,37,1,Y,N
HAN,Osaka,Tigers,1955,C,2,130,77,52,1,N,N
